Key,English,Tibetan
"app_title","Meal Buddy","ཟས་མཐུན་ལས་རོགས།"
"home","Home","གཙོ་ངོས།"
"dashboard","Dashboard","ལས་དོན་གཙོ་ལེབ།"
"sign_in","Sign In","ནང་དུ་འཛུལ་བ།"
"sign_up","Sign Up","ཐོ་འགོད་བྱེད་པ།"
"logout","Logout","ཕྱིར་ཐོན་པ།"
"vote_now","Dining status","ཉིན་ཟས་རྣམ་གཞག"
"join_team","Join your team","རུ་ཁག་ལ་མཉམ་ཞུགས།"
"hero_title","Lunch at work","ལས་ཁུངས་ཀྱི་ཉིན་ཟས།"
"hero_subtitle","The smartest way for teams to vote on meals and eliminate food waste.","ཚོགས་མི་རྣམས་ཀྱི་ཟས་ལ་འོས་བསྡུས་བྱེད་ཏེ་ཟས་ཟད་མི་འགྲོ་བར་བྱེད་པའི་ཐབས་ལམ།"
"weekly_menu_title","This Week’s Lunch Plan","བདུན་ཕྲག་འདིའི་ཟས་མཐོ།"
"weekly_menu_subtitle","Fresh meals prepared daily by our expert chef. Vote before 10am","ཉིན་རེ་མ་བྱན་ལགས་ཀྱི་ཁ་ལག་སོས་པ་བཟོས་པར་ཆུ་ཚོད་ ༡༠ སྔོན་ནས་བཟའ་མིན་འོས་བྱེད་རོགས།"
"how_it_works","How Meal Buddy Works","ཟས་མཐུན་ལས་རོགས་བྱེད་ཚུལ།"
"how_step1_title","Master Chef Plans Menu","མ་བྱན་ལགས་ཀྱི་ཟས་ཐོ་འཆར་གཞི།"
"how_step1_desc","Daily chef-curated meals are added to the weekly dashboard.","ཉིན་རེའི་ཟས་མཆོག་རྣམས་བདུན་རེའི་ཟས་ཐོའི་ནང་དུ་བཀོད་སྒྲིག་བྱེད།"
"how_step2_title","Employee Vote","ལས་བྱེད་རྣམས་ཀྱི་འོས།"
"how_step2_desc","Team members confirm their lunch before the 10 AM cutoff.","རུ་ཁག་གི་ཚོགས་མི་ཚོས་ཞོགས་པ་ཆུ་ཚོད་ ༡༠ སྔོན་ལ་ཉིན་ཟས་བཞེས་མིན་ཐག་གཅོད་བྱེད།"
"how_step3_title","Cook Smart","བཟོས་དགོས་པ།"
"how_step3_desc","Chef prepares exactly what is needed. Zero waste.","མ་བྱན་ལགས་ཀྱི་དགོས་མཁོ་གང་ཡིན་པ་བཟོས་པར་ཟས་ཆུད་ཟོས་མ་འགྲོ་བའི་ཆེད།"
"cta_title","Ready to join your team's lunch hour?","རུ་ཁག་གི་ཉིན་ཟས་དུས་ཚོད་ལ་མཉམ་ཞུགས་གནང་གི་ཡིན་པས།"
"cta_desc","Join your office workspace today and never wonder ""what's for lunch"" again.","དེ་རིང་ཉིད་དུ་ཡིག་ཚང་གི་ལས་ཡུལ་དུ་མཉམ་ཞུགས་གནང་ནས་ཉིན་ཟས་ཅི་བཞེས་ལ་ཐེ་ཚོམ་བྱེད་མི་དགོས།"
"cta_button","Get Started Now","ད་ལྟ་ཉིད་དུ་འགོ་འཛུགས་པ།"
"footer_rights","© 2026 Meal Buddy. All rights reserved.","© ༢༠༢༦ ཞལ་ལག་མཛའ་མཐུན། ཐོབ་ཐང་ཡོངས་རྫོགས་ཡོད།"
"welcome_back","Welcome Back","ཡོང་བར་དགའ་བསུ་ཞུ།"
"get_started","Get Started","འགོ་འཛུགས་པ།"
"login_subtitle","Sign in to manage your team's lunch schedule.","རུ་ཁག་གི་ཉིན་ཟས་འཆར་གཞི་བཀོད་སྒྲིག་བྱེད་པར་ནང་དུ་འཛུལ་བ།"
"signup_subtitle","Create an account to simplify your office dining experience.","ཁྱེད་ཀྱི་ཡིག་ཚང་གི་ཉིན་ཟས་བདེ་བླག་ངང་བཀོད་སྒྲིག་བྱེད་པར་ཐོ་འགོད་བྱེད་པ།"
"email_address","Email Address","གློག་འཕྲིན་ཁ་བྱང་།"
"password","Password","གསང་ཚིག"
"confirm_password","Confirm Password","གསང་ཚིག་བསྐྱར་འཇུག"
